"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45"
"best" 35 8 3 37 37 37 7 8 37 10 31 8 13 14 37 16 42 13 30 31 13 27 23 37 25 26 27 16 40 30 31 37 33 8 35 3 37 31 39 40 16 42 42 44 3
"avg" 1 1 2 3 3 3 1 1 3 1 4 1 5 1 3 4 3 5 6 4 5 4 1 3 1 3 4 4 3 6 4 3 3 1 1 2 3 4 1 3 4 3 3 1 2
"comp" 1 1 1 1 1 1 1 1 1 2 3 1 4 1 1 3 1 4 5 3 4 3 1 1 1 5 3 3 6 5 3 1 1 1 1 1 1 3 2 6 3 1 1 2 1
"draws" 35 8 3 37 37 37 7 8 37 10 31 8 13 14 37 16 42 13 30 31 13 27 23 37 25 26 27 16 40 30 31 37 33 8 35 3 37 31 39 40 16 42 42 44 3
