"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45"
"1" 0.97979797979798 0.616161616161616 0.141414141414141 0.222222222222222 0.191919191919192 0.191919191919192 0.727272727272727 0.616161616161616 0.191919191919192 0.777777777777778 0.191919191919192 0.616161616161616 0.222222222222222 0.97979797979798 0.414141414141414 0.232323232323232 0.191919191919192 0.222222222222222 0.323232323232323 0.191919191919192 0.222222222222222 0.151515151515152 0.97979797979798 0.191919191919192 0.767676767676768 0.101010101010101 0.151515151515152 0.232323232323232 0.282828282828283 0.333333333333333 0.191919191919192 0.191919191919192 0.414141414141414 0.616161616161616 0.97979797979798 0.141414141414141 0.414141414141414 0.282828282828283 0.616161616161616 0.282828282828283 0.232323232323232 0.191919191919192 0.191919191919192 0.141414141414141 0.141414141414141
"2" 1 0.888888888888889 0.232323232323232 0.131313131313131 0.333333333333333 0.272727272727273 0.535353535353535 0.828282828282828 0.333333333333333 0.474747474747475 0.101010101010101 0.888888888888889 0.0303030303030303 0.686868686868687 0.333333333333333 0.202020202020202 0.131313131313131 0.0303030303030303 0.161616161616162 0.101010101010101 0.0303030303030303 0.0808080808080808 0.909090909090909 0.333333333333333 0.686868686868687 0.202020202020202 0.0808080808080808 0.202020202020202 0.232323232323232 0.161616161616162 0.101010101010101 0.131313131313131 0.333333333333333 0.828282828282828 1 0.232323232323232 0.333333333333333 0.101010101010101 0.484848484848485 0.232323232323232 0.202020202020202 0.111111111111111 0.131313131313131 0.444444444444444 0.232323232323232
"3" 1 0.808080808080808 0.272727272727273 0.121212121212121 0.292929292929293 0.222222222222222 0.555555555555556 0.828282828282828 0.292929292929293 0.585858585858586 0.141414141414141 0.808080808080808 0.0202020202020202 0.666666666666667 0.292929292929293 0.212121212121212 0.121212121212121 0.0202020202020202 0.171717171717172 0.141414141414141 0.0202020202020202 0.0606060606060606 0.909090909090909 0.222222222222222 0.838383838383838 0.151515151515152 0.0909090909090909 0.212121212121212 0.222222222222222 0.171717171717172 0.101010101010101 0.121212121212121 0.292929292929293 0.808080808080808 1 0.292929292929293 0.292929292929293 0.141414141414141 0.636363636363636 0.222222222222222 0.212121212121212 0.222222222222222 0.121212121212121 0.434343434343434 0.292929292929293
"4" 1 0.828282828282828 0.252525252525253 0.0808080808080808 0.333333333333333 0.121212121212121 0.575757575757576 0.828282828282828 0.333333333333333 0.565656565656566 0.101010101010101 0.828282828282828 0.0303030303030303 0.696969696969697 0.333333333333333 0.212121212121212 0.0808080808080808 0.0303030303030303 0.262626262626263 0.101010101010101 0.0303030303030303 0.111111111111111 0.858585858585859 0.333333333333333 0.838383838383838 0.262626262626263 0.0808080808080808 0.212121212121212 0.212121212121212 0.262626262626263 0.101010101010101 0.0808080808080808 0.333333333333333 0.828282828282828 1 0.191919191919192 0.333333333333333 0.101010101010101 0.494949494949495 0.282828282828283 0.212121212121212 0.121212121212121 0.0808080808080808 0.808080808080808 0.252525252525253
"5" 0.97979797979798 0.878787878787879 0.232323232323232 0.272727272727273 0.292929292929293 0.262626262626263 0.828282828282828 0.878787878787879 0.292929292929293 0.676767676767677 0.262626262626263 0.878787878787879 0.151515151515152 0.97979797979798 0.131313131313131 0.141414141414141 0.272727272727273 0.151515151515152 0.191919191919192 0.262626262626263 0.0303030303030303 0.131313131313131 0.97979797979798 0.292929292929293 0.737373737373737 0.343434343434343 0.131313131313131 0.141414141414141 0.535353535353535 0.191919191919192 0.262626262626263 0.292929292929293 0.292929292929293 0.878787878787879 0.97979797979798 0.232323232323232 0.131313131313131 0.262626262626263 0.878787878787879 0.434343434343434 0.404040404040404 0.383838383838384 0.131313131313131 0.575757575757576 0.434343434343434
"6" 1 0.797979797979798 0.232323232323232 0.131313131313131 0.151515151515152 0.373737373737374 0.555555555555556 0.808080808080808 0.333333333333333 0.555555555555556 0.101010101010101 0.838383838383838 0.0202020202020202 0.727272727272727 0.333333333333333 0.101010101010101 0.131313131313131 0.0202020202020202 0.292929292929293 0.101010101010101 0.0202020202020202 0.151515151515152 0.838383838383838 0.373737373737374 0.838383838383838 0.131313131313131 0.151515151515152 0.121212121212121 0.373737373737374 0.292929292929293 0.101010101010101 0.131313131313131 0.333333333333333 0.797979797979798 1 0.232323232323232 0.373737373737374 0.101010101010101 0.444444444444444 0.131313131313131 0.121212121212121 0.131313131313131 0.131313131313131 0.929292929292929 0.232323232323232
"7" 1 0.828282828282828 0.282828282828283 0.131313131313131 0.323232323232323 0.323232323232323 0.696969696969697 0.828282828282828 0.323232323232323 0.424242424242424 0.121212121212121 0.828282828282828 0.0303030303030303 0.707070707070707 0.323232323232323 0.121212121212121 0.151515151515152 0.0303030303030303 0.333333333333333 0.101010101010101 0.0303030303030303 0.0606060606060606 0.858585858585859 0.323232323232323 0.818181818181818 0.141414141414141 0.0606060606060606 0.121212121212121 0.252525252525253 0.171717171717172 0.101010101010101 0.101010101010101 0.323232323232323 0.828282828282828 1 0.222222222222222 0.323232323232323 0.171717171717172 0.626262626262626 0.252525252525253 0.121212121212121 0.101010101010101 0.101010101010101 0.404040404040404 0.222222222222222
"8" 1 0.808080808080808 0.101010101010101 0.161616161616162 0.161616161616162 0.333333333333333 0.525252525252525 0.808080808080808 0.333333333333333 0.646464646464647 0.131313131313131 0.808080808080808 0.0303030303030303 0.717171717171717 0.333333333333333 0.202020202020202 0.161616161616162 0.0303030303030303 0.262626262626263 0.0909090909090909 0.0303030303030303 0.0808080808080808 0.94949494949495 0.161616161616162 0.666666666666667 0.262626262626263 0.0808080808080808 0.202020202020202 0.262626262626263 0.262626262626263 0.131313131313131 0.161616161616162 0.464646464646465 0.808080808080808 1 0.101010101010101 0.161616161616162 0.0909090909090909 0.646464646464647 0.262626262626263 0.202020202020202 0.161616161616162 0.161616161616162 0.444444444444444 0.494949494949495
"9" 1 0.818181818181818 0.131313131313131 0.181818181818182 0.313131313131313 0.121212121212121 0.535353535353535 0.818181818181818 0.181818181818182 0.393939393939394 0.0909090909090909 0.818181818181818 0.0202020202020202 0.666666666666667 0.181818181818182 0.111111111111111 0.121212121212121 0.0404040404040404 0.151515151515152 0.0909090909090909 0.0404040404040404 0.0606060606060606 0.878787878787879 0.181818181818182 0.727272727272727 0.262626262626263 0.0606060606060606 0.232323232323232 0.232323232323232 0.151515151515152 0.0909090909090909 0.0808080808080808 0.373737373737374 0.818181818181818 1 0.131313131313131 0.181818181818182 0.0909090909090909 0.464646464646465 0.222222222222222 0.111111111111111 0.121212121212121 0.0808080808080808 0.98989898989899 0.131313131313131
"10" 1 0.818181818181818 0.252525252525253 0.191919191919192 0.191919191919192 0.121212121212121 0.515151515151515 0.818181818181818 0.191919191919192 0.636363636363636 0.111111111111111 0.818181818181818 0.0202020202020202 0.676767676767677 0.191919191919192 0.121212121212121 0.121212121212121 0.0202020202020202 0.282828282828283 0.161616161616162 0.0202020202020202 0.0707070707070707 0.878787878787879 0.191919191919192 0.818181818181818 0.262626262626263 0.0707070707070707 0.121212121212121 0.232323232323232 0.282828282828283 0.0909090909090909 0.121212121212121 0.363636363636364 0.818181818181818 1 0.252525252525253 0.191919191919192 0.121212121212121 0.636363636363636 0.232323232323232 0.121212121212121 0.121212121212121 0.121212121212121 0.424242424242424 0.252525252525253
