"x"
"V1" 0.988164473012958
"V2" 0.828997041118253
"V3" 0.196714620957045
"V4" 0.166819712274258
"V5" 0.228446076930925
"V6" 0.243750637690032
"V7" 0.62248750127538
"V8" 0.830425466789103
"V9" 0.219671462095705
"V10" 0.508009386797266
"V11" 0.103356800326497
"V12" 0.826548311396796
"V13" 0.0404040404040404
"V14" 0.715437200285685
"V15" 0.234363840424447
"V16" 0.158861340679522
"V17" 0.134476073870013
"V18" 0.046831955922865
"V19" 0.236608509335782
"V20" 0.114274053667993
"V21" 0.0403020099989797
"V22" 0.116314661769207
"V23" 0.893276196306499
"V24" 0.255688195082135
"V25" 0.775124987246199
"V26" 0.214876033057851
"V27" 0.115396388123661
"V28" 0.163554739312315
"V29" 0.270788695031119
"V30" 0.234465870829507
"V31" 0.103662891541679
"V32" 0.162024283236405
"V33" 0.3458830731558
"V34" 0.816753392510968
"V35" 0.996122844607693
"V36" 0.191307009488828
"V37" 0.236404448525661
"V38" 0.111621263136415
"V39" 0.55902458932762
"V40" 0.236098357310478
"V41" 0.189980614223038
"V42" 0.162738496071829
"V43" 0.137843077237017
"V44" 0.63258851137639
"V45" 0.240995816753392
