"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45"
"33" 14 2 3 5 5 15 7 2 9 10 11 2 13 14 15 28 5 21 19 11 21 22 14 33 25 26 22 28 29 19 11 5 33 2 35 3 5 11 39 40 28 5 5 44 3
"34" 1 2 36 15 5 15 7 12 15 10 31 12 21 14 15 41 15 21 19 31 21 22 14 15 25 26 22 41 40 19 31 15 33 2 35 36 15 38 39 40 41 15 15 44 36
"35" 35 2 3 4 4 4 7 8 4 10 11 12 18 8 15 31 17 18 19 42 21 27 23 42 2 26 27 28 40 19 31 42 15 12 35 36 15 11 10 40 31 42 17 10 36
"36" 1 2 3 6 33 6 14 25 33 10 31 25 13 14 33 31 17 13 19 31 13 22 23 33 25 26 27 31 40 30 31 6 33 25 35 3 33 31 10 40 31 17 17 44 45
"37" 23 23 36 4 4 4 23 23 9 23 11 23 13 23 15 16 9 13 30 11 21 27 23 24 25 26 27 16 29 30 31 4 4 23 35 36 4 11 23 29 16 9 4 23 45
"38" 35 39 36 4 5 6 7 39 17 10 11 39 18 35 17 28 17 18 30 31 18 27 23 24 25 26 27 28 29 30 31 17 33 39 35 36 17 38 39 40 28 17 17 44 36
"39" 35 8 36 42 42 6 7 8 42 10 11 12 13 14 42 16 42 13 19 11 13 27 23 42 25 26 27 28 29 19 11 42 6 39 35 36 42 11 39 29 16 42 42 44 36
"40" 1 2 3 32 15 6 7 8 32 10 11 2 13 14 15 16 32 21 19 11 21 27 1 32 25 26 27 16 29 30 11 32 6 34 35 3 37 11 39 29 16 42 32 44 3
"41" 1 34 3 4 15 15 7 34 9 39 11 34 18 14 15 11 17 18 30 11 18 22 23 24 34 26 22 11 4 30 11 9 33 34 35 36 15 38 39 40 11 9 9 39 3
"42" 1 2 3 9 5 5 7 2 9 10 38 2 18 14 5 16 9 18 30 38 18 22 23 9 25 26 27 28 40 30 38 9 5 34 1 3 5 38 39 40 28 9 43 44 45
"43" 1 2 3 5 5 5 7 2 5 10 11 12 13 14 15 16 5 18 19 11 13 27 1 5 25 26 27 28 29 19 31 32 33 2 1 3 5 11 2 29 41 42 5 44 3
"44" 1 12 36 9 9 33 7 12 9 10 38 12 13 14 9 38 17 13 19 38 13 22 1 24 25 26 27 28 29 30 38 9 33 12 1 36 9 38 39 40 28 24 9 44 36
"45" 23 2 3 4 4 33 7 34 9 10 31 34 13 14 4 41 4 13 19 31 13 22 23 9 25 26 22 41 40 19 31 4 33 34 35 36 33 31 39 40 41 9 4 44 45
"46" 1 34 36 4 5 33 7 8 29 10 20 34 18 14 5 20 5 18 30 20 18 22 23 29 1 26 22 20 29 30 20 5 33 34 35 36 5 20 39 40 20 5 4 10 36
"47" 35 34 36 4 5 5 7 8 15 10 31 12 13 39 15 31 15 13 19 31 13 27 23 5 34 26 27 31 40 19 31 15 5 34 35 36 15 31 39 40 41 4 4 44 36
"48" 1 12 45 4 24 33 7 12 24 10 31 12 21 14 24 28 4 21 19 20 21 22 23 24 25 26 27 28 40 30 31 24 33 12 1 45 33 31 39 40 28 4 43 44 45
"49" 35 12 36 43 5 40 7 12 5 10 11 12 13 35 40 16 43 21 19 31 21 27 12 5 12 26 27 28 40 19 31 5 40 12 35 36 40 38 39 40 16 5 43 44 36
"50" 35 12 3 4 4 33 7 12 4 10 31 12 13 14 4 16 17 13 19 31 13 22 23 24 25 26 27 16 29 19 31 4 33 12 35 36 4 31 39 40 16 43 43 44 3
"51" 35 2 3 5 5 6 7 8 5 10 11 8 13 14 5 16 43 13 30 11 13 27 23 5 25 26 27 16 29 30 11 5 6 2 35 45 5 11 39 40 16 43 43 44 45
"52" 1 2 3 9 9 29 14 34 9 10 11 2 13 14 9 11 11 13 30 11 13 11 2 29 14 45 11 11 29 30 31 9 29 34 1 45 9 11 39 11 11 11 43 1 45
"53" 1 8 45 9 6 6 7 8 9 10 20 8 13 14 6 41 9 13 19 20 21 22 23 24 25 26 22 41 29 19 20 9 24 8 1 45 6 20 39 29 41 9 9 44 45
"54" 1 2 3 15 5 15 7 8 15 39 11 8 13 14 15 18 15 18 19 18 13 22 34 15 34 15 22 18 29 19 18 15 5 34 1 3 37 18 39 29 41 15 15 1 45
"55" 1 2 36 43 37 43 7 2 42 10 11 2 13 14 24 41 43 13 19 11 13 27 23 24 25 26 27 41 29 19 11 24 33 34 1 36 37 11 39 29 41 42 43 44 36
"56" 1 2 36 24 37 6 7 2 9 10 11 2 18 14 15 28 15 18 30 11 18 22 23 24 25 26 22 28 29 30 11 9 37 2 1 36 37 11 39 29 28 42 24 44 36
"57" 35 2 36 15 9 9 7 8 9 10 11 2 13 14 15 28 42 18 30 11 18 27 23 15 25 26 27 28 29 30 11 15 9 34 35 36 37 11 39 29 41 42 42 44 36
"58" 1 12 36 37 15 15 7 12 9 10 38 12 13 14 15 28 43 13 30 38 13 22 23 37 25 26 27 28 40 30 38 37 15 12 1 36 37 38 39 40 41 42 43 44 36
"59" 35 2 3 9 9 9 7 2 9 10 11 2 13 14 9 41 17 13 30 11 13 22 23 9 25 26 22 41 29 30 11 9 33 34 35 3 37 11 39 29 41 9 17 44 45
"60" 1 2 36 42 42 42 7 2 9 14 38 12 21 14 42 16 17 21 30 38 21 22 2 42 14 26 27 16 42 30 38 42 33 12 35 36 42 38 14 42 16 42 43 12 36
"61" 35 2 36 37 37 37 7 2 37 10 11 2 13 14 37 41 17 13 30 20 21 27 23 37 25 26 27 41 40 30 31 37 33 2 35 36 37 38 39 40 41 37 17 44 45
"62" 35 8 3 37 37 37 7 8 37 10 31 8 13 14 37 16 42 13 30 31 13 27 23 37 25 26 27 16 40 30 31 37 33 8 35 3 37 31 39 40 16 42 42 44 3
